#{"t_start": 1702278341.546579, "env_id": "ContactProcess"}
r,l,t
-138458.650179,87,37.281017
-67679.298897,42,37.320126
-28289.572214,17,37.340493
-152849.951518,96,37.431328
-52087.288931,34,37.466052
-90377.443034,54,37.517067
-36189.864584,22,37.596243
-68180.085005,43,37.639361
-266286.343476,166,37.781612
-92079.819071,59,37.886258
-123756.340206,78,37.959425
-19789.728773,12,37.97474
-61077.356015,38,38.011234
-118571.764802,75,38.077191
-233522.043748,148,38.255632
-8599.179318,5,38.262424
-53579.57579,34,38.294654
-98766.118029,62,38.348396
-141553.915398,90,38.483147
-46985.440352,30,38.514198
-248815.532166,154,38.646403
-93768.910158,60,38.752796
-160641.283898,103,38.846154
-89269.298173,57,38.901789
-222219.24423,140,39.083455
-81173.731217,53,39.135675
-16997.97848,10,39.148865
-69978.606863,43,39.192178
-347286.89182,220,39.436258
-74877.099916,49,39.482827
-51283.55985,33,39.513768
-126366.41091,80,39.645444
-51686.064743,33,39.677874
-216119.068921,137,39.804641
-265511.653613,168,40.020386
-127157.502349,82,40.092181
-43488.747392,28,40.120723
-122874.559808,76,40.244927
-27695.441954,20,40.270476
-64191.69171,39,40.308416
-92881.435302,56,40.358544
-203129.979125,132,40.53333
-47490.72518,31,40.562933
-195418.96887,123,40.675167
-27591.768832,18,40.693162
-13893.912351,8,40.702381
-116771.75608,75,40.828967
-68176.406676,44,40.875807
-256313.254572,159,41.08634
-57873.842666,36,41.122617
-75468.145142,49,41.171359
-70680.217796,46,41.2178
-114557.49534,73,41.280119
-91465.817902,57,41.382151
-101971.587751,67,41.441272
-132863.489393,84,41.512605
-38593.983973,24,41.536242
-69480.121586,43,41.579793
-74781.360613,46,41.68787
-180857.69033,115,41.792898
-52586.473013,34,41.824189
-61074.333954,37,41.861641
-188336.341291,117,42.025783
-15397.818075,11,42.037865
-113846.067828,73,42.106489
-55086.498758,36,42.142524
-222723.808616,142,42.331341
-36286.997681,22,42.355774
-140657.437695,88,42.437446
-176832.030231,109,42.585904
-77971.351105,49,42.632865
-23087.962281,15,42.65173
-16997.554985,11,42.668969
-42492.716575,27,42.696757
-238107.841582,151,42.887168
-40586.42095,25,42.915948
-149654.884921,96,43.0049
-79380.929978,51,43.056421
-64182.773547,41,43.098725
-100865.370072,64,43.209314
-53384.437978,34,43.244751
-168737.269885,105,43.339383
-71068.480941,45,43.383717
-209031.16555,136,43.59348
