#{"t_start": 1702320886.668968, "env_id": "ContactProcess"}
r,l,t
-261205.678841,166,58.169898
-75085.456386,49,58.22119
-26085.324483,17,58.238558
-29671.331834,18,58.259006
-124360.004903,78,58.390681
-189564.75576,120,58.495266
-108508.796165,68,58.618796
-77296.184148,49,58.668497
-265749.536067,168,58.82697
-74188.897694,48,58.928693
-83056.268123,53,58.978939
-39065.207113,24,59.003685
-39661.99622,26,59.032918
-109457.097054,69,59.103455
-111010.539573,70,59.22091
-91237.617112,58,59.273113
-166139.815327,105,59.373402
-77681.841336,49,59.41858
-53333.899751,34,59.452051
-77061.68113,50,59.555354
-42669.665943,26,59.585425
-147251.562224,97,59.675213
-115856.720825,74,59.743259
-36460.584239,23,59.828212
-51313.337945,34,59.863761
-144371.667029,89,59.94827
-192138.367125,119,60.061813
-70632.253448,44,60.202329
-45815.985774,30,60.231529
-72097.167571,44,60.273055
-65122.314402,43,60.31588
-103639.712129,65,60.378468
-102645.160944,65,60.492189
-128672.09332,83,60.565597
-22563.611094,13,60.583213
-226032.11424,145,60.774917
-435101.042456,277,61.071687
-82695.800194,52,61.12291
-220664.435163,139,61.246797
-111616.853401,73,61.367754
-90696.20761,55,61.419639
-36038.572659,23,61.447893
-163185.010014,104,61.558702
-77665.945034,49,61.660673
-155798.989747,100,61.756055
-36543.530398,23,61.782551
-61319.14526,39,61.820587
-59226.041371,38,61.859484
-106467.124513,70,61.985125
-115625.071147,71,62.048645
-84307.826419,53,62.098842
-77382.271588,49,62.14772
-79040.370617,51,62.197559
-113769.496718,73,62.32124
-109193.602535,73,62.391516
-68789.581631,42,62.431471
-154786.066421,100,62.579473
-130113.828766,85,62.66108
-335057.222721,207,62.898317
-151973.503177,93,62.982354
-43206.12521,29,63.015036
-78367.176505,48,63.058765
-178643.567476,115,63.216338
-73297.046359,46,63.260277
-119631.162363,75,63.325743
-52633.729773,34,63.359441
-118216.074587,72,63.472449
-94346.338266,59,63.529106
-249544.083272,157,63.719281
-120505.158168,75,63.78612
-67919.916219,45,63.828758
-55203.824665,35,63.86643
-68877.523728,44,63.906802
-183516.69216,120,64.066129
-160848.949317,102,64.156167
-113922.708083,73,64.273599
-100089.849636,63,64.33035
-64670.028273,40,64.36817
-154229.009076,100,64.462025
-104378.522219,67,64.578006
-137169.279869,91,64.669484
-56636.876355,35,64.703598
-25575.380795,15,64.721591
-51290.995396,34,64.756648
-50436.493209,34,64.790728
-17890.379958,12,64.808183
-38853.12668,24,64.893182
-119928.51397,78,64.970329
-39423.633016,26,65.001151
-107836.405435,69,65.063224
-107760.467706,68,65.123532
-265532.37543,172,65.335503
-76959.562992,48,65.382423
-60729.023525,39,65.479554
-57108.978892,37,65.51672
-39685.661611,26,65.547778
-43953.318095,28,65.576408
-89165.148092,55,65.631053
-146488.651408,90,65.713005
-141638.441125,91,65.863377
-94341.859082,61,65.925305
-41212.597604,26,65.956843
-144765.860828,89,66.045189
-77263.814005,50,66.149601
-173256.734929,112,66.258498
-79661.78677,49,66.304723
-35455.09035,22,66.327855
-145479.88428,92,66.46782
-134676.089318,86,66.551131
-89625.956909,56,66.601455
-172396.650713,110,66.765929
-43395.494548,28,66.794324
-232804.93683,147,66.932781
-39972.427538,25,67.017136
-64650.184569,42,67.062092
-115279.881227,72,67.1289
-21844.01034,14,67.145202
-88946.6034,58,67.198075
-100871.334601,64,67.260594
-158063.605239,98,67.410141
-50653.369745,32,67.444108
-62613.134324,41,67.483925
-96739.504344,61,67.544256
-135452.107563,88,67.692735
-28170.786738,18,67.711346
-170696.876147,112,67.816324
-34850.79309,22,67.837152
-40811.799903,27,67.865572
-20262.679777,13,67.884052
-32365.231891,21,67.962486
-83731.539166,55,68.019192
-38654.671675,23,68.040688
-88664.661078,57,68.094502
-216909.818445,139,68.277285
-74782.038065,49,68.324765
-67330.077572,44,68.370198
-171207.016362,106,68.464354
-44937.417238,28,68.544755
-172976.705754,110,68.63868
-32058.923001,21,68.660476
-118523.714905,75,68.726911
-40551.517038,26,68.758202
-66621.785329,41,68.850686
-44317.74978,28,68.883703
-41363.475072,25,68.908346
-31458.211306,19,68.926091
-35067.265931,22,68.954048
-124379.358091,79,69.027979
-101320.303722,64,69.139199
-55530.979753,35,69.174177
-87372.588084,56,69.227396
-80746.084419,51,69.274412
-20993.250645,13,69.292054
-90731.328701,61,69.34937
-129644.035493,81,69.47597
-140021.093082,87,69.552938
-224308.726669,144,69.732993
-30263.834827,19,69.752045
-186262.314643,118,69.855776
-60038.475196,41,69.898793
-78617.836967,49,69.943525
-64612.531228,43,70.050148
-55815.212977,34,70.08395
-65338.073956,41,70.12465
-114125.013604,70,70.192253
-42464.079859,27,70.218518
-60477.302105,38,70.252488
-58031.388208,38,70.34297
-15892.780226,11,70.354779
-221558.743167,141,70.483154
-103399.389111,66,70.547178
-103084.913845,66,70.664903
-25860.113269,17,70.685645
-35064.428623,22,70.709041
-57831.450594,37,70.746482
-155848.702034,99,70.839956
-76173.451763,46,70.944177
-100271.743973,64,71.006016
-230340.048584,144,71.131395
-64614.597039,41,71.234901
-156457.859844,102,71.329675
-32168.692345,20,71.350415
-38654.747225,24,71.374412
-203835.946989,131,71.554312
-100291.830018,63,71.615825
-68687.836792,42,71.657303
-67725.449157,43,71.698762
-306129.869876,201,71.928366
-106729.116931,68,71.992118
