#{"t_start": 1702284563.918493, "env_id": "ContactProcess"}
r,l,t
-29793.946316,20,25.990071
-56492.489007,37,26.029756
-14897.659418,10,26.045916
-29292.26325,20,26.067481
-18198.818995,12,26.082148
-38997.281547,25,26.108726
-28095.005319,19,26.130424
-19395.59401,12,26.146675
-34496.107663,22,26.170651
-59686.623854,39,26.211437
-52493.219598,35,26.247143
-49382.55555,32,26.284241
-23498.313579,15,26.30102
-12699.762173,9,26.313555
-48793.075089,34,26.345075
-68293.042282,44,26.383303
-37592.361644,25,26.405977
-33199.296,22,26.429819
-87484.660576,58,26.483657
-73180.490508,50,26.541431
-61469.496835,39,26.575591
-27697.228771,18,26.595811
-13798.837443,9,26.607278
-63191.936826,42,26.645808
-21898.192286,13,26.658731
-32195.136709,20,26.679725
-75781.371321,50,26.722795
-50796.97393,33,26.754355
-11699.879153,8,26.765085
-21599.838746,13,26.782026
-21297.504209,14,26.803667
-38597.696103,25,26.832348
-42488.482906,29,26.863585
-37593.083036,24,26.888365
-56488.739767,37,26.922696
-97183.755547,65,26.984836
-42994.105641,29,27.011383
-22396.164998,14,27.028179
-59980.332241,39,27.070699
-28595.806609,19,27.088798
-24099.176337,16,27.107176
-13499.770891,9,27.117578
-16999.331191,11,27.12893
-72289.642308,47,27.17424
-30998.947194,18,27.192018
-29997.666289,19,27.211898
-8498.05208,5,27.220353
-76891.999146,52,27.267502
-9998.656087,6,27.274495
-61791.953793,43,27.321529
-37597.300252,24,27.345763
-42699.468609,29,27.374651
-15599.578102,10,27.387896
-12599.64685,8,27.396455
-43789.061506,29,27.430565
-12400.000798,8,27.440462
-12598.522147,7,27.450345
-17795.578055,12,27.465703
-27294.783597,18,27.485596
-32095.69922,21,27.507658
-55194.57209,38,27.547543
-29696.632385,18,27.56401
-22695.654358,16,27.58478
-55694.720353,38,27.625666
-93687.607325,64,27.690735
-45092.626057,28,27.715693
-63480.458174,42,27.754879
-14696.341232,9,27.766248
-50790.101713,33,27.797921
-26999.744551,17,27.813443
-12400.000748,8,27.825102
-19999.559884,14,27.841221
-23298.389153,15,27.860853
-33595.784782,23,27.890499
-15499.870611,10,27.9051
-41497.487143,27,27.935662
-14294.742246,9,27.947807
-14796.5413,9,27.959017
-33793.418016,23,27.980474
-12499.055139,8,27.991782
-50298.64048,33,28.024637
-16699.759831,10,28.036452
-13399.239366,9,28.047587
-25997.939391,16,28.065361
-24098.714162,16,28.084037
-38896.02455,25,28.115528
-46694.289832,31,28.148279
-35895.398373,23,28.175431
-42997.35226,27,28.203445
-28097.752421,19,28.222466
-19598.118554,12,28.236215
-19099.192977,12,28.249768
-32094.392174,22,28.269248
-18698.839075,13,28.287727
-49595.627561,32,28.319959
-17099.487487,11,28.336897
-24391.826393,16,28.355516
-23894.165223,16,28.375012
-42594.06468,28,28.406871
-58291.951172,37,28.452105
-37196.432593,25,28.481846
-25598.660307,16,28.500594
-40096.448867,27,28.531945
-20895.440598,13,28.546467
-17499.949822,11,28.558133
-11400.00038,7,28.565989
-22697.235583,14,28.58264
-15398.921075,10,28.598987
-23197.73633,16,28.617476
-11899.924335,7,28.626799
-49690.715614,32,28.657553
-19697.494014,13,28.676573
-18395.050592,12,28.691718
-14599.374837,10,28.7044
-30895.618857,19,28.72293
-14399.457443,9,28.73322
-17897.423748,13,28.753126
-40096.963409,27,28.783086
-14099.150478,9,28.797411
-10797.327153,7,28.807985
-39093.07333,27,28.838376
-27299.70941,18,28.86004
-57493.707647,37,28.898997
-34799.042329,23,28.926236
-22598.684962,14,28.941896
-98397.707775,64,29.001239
-16899.653043,11,29.014503
-19799.202734,12,29.028361
-16697.220265,12,29.048958
-60191.915865,40,29.087285
-28197.820997,18,29.106928
-41088.436125,27,29.134687
-62188.835332,40,29.175967
-29595.133423,19,29.19694
-71296.18936,44,29.233436
-11400.00067,7,29.24278
-43696.394571,26,29.271051
-28492.997746,19,29.29161
-19499.170101,13,29.311281
-25997.494558,17,29.330761
-45689.858276,30,29.360909
-44399.298364,29,29.390312
-27599.472166,19,29.41331
-20898.834371,14,29.43206
-39995.327411,25,29.458327
-27196.808135,18,29.481422
-23896.212338,17,29.503196
-49795.737557,32,29.536581
-46199.870431,29,29.563291
-16998.361328,11,29.576898
-94689.299378,61,29.632428
-14597.982858,9,29.643712
-24498.106837,17,29.659384
-26096.903778,18,29.679474
-46998.580404,30,29.70494
-85083.366187,54,29.757078
-22599.425403,15,29.775658
-10097.214937,7,29.785148
-13299.561997,8,29.796831
-37097.830007,23,29.820304
-86994.259605,56,29.878137
-36197.633226,25,29.907031
-38896.621117,24,29.936706
-8100.000399,5,29.943235
-25797.507225,16,29.961585
-21093.784406,14,29.977024
-51994.973583,34,30.009216
-35690.732211,23,30.034161
-60090.332517,38,30.07207
-7699.997669,4,30.077382
-13699.204424,9,30.090309
-13398.271887,8,30.101871
-40396.361363,26,30.123531
-43098.022533,27,30.157885
-18296.063023,13,30.171586
-81487.28633,52,30.232087
-46394.961924,31,30.268685
-45299.42309,29,30.298781
-46189.79064,31,30.329786
-26392.640803,18,30.351952
-30797.012796,21,30.377876
-42798.575087,29,30.409256
-30894.806329,19,30.433743
-41594.977083,26,30.462194
-51190.262107,31,30.497588
-20193.436436,13,30.514433
-44399.266437,27,30.542368
-10898.591727,7,30.55268
-10299.500558,7,30.564181
-18398.021637,12,30.580003
-31496.508665,20,30.602516
-23498.536904,15,30.618641
-42889.925589,29,30.650055
-59597.35314,37,30.690431
-51997.021067,34,30.730685
-14398.961102,9,30.741864
-19499.068444,13,30.758758
-21099.108365,14,30.774099
-45191.290531,29,30.80177
-37694.885403,25,30.83458
-60788.990492,41,30.873541
-26693.85776,18,30.894126
-17599.663205,12,30.908471
-19698.516207,13,30.923138
-30598.477532,19,30.941149
-25098.086153,17,30.958868
-26595.888373,17,30.980557
-30697.52503,20,31.00793
-26198.384047,17,31.028096
-9600.0006,7,31.037045
-18698.816098,13,31.050273
-41789.96871,27,31.082139
-26397.975995,18,31.104026
-13599.641823,9,31.115643
-22198.442158,16,31.135596
-12599.88144,8,31.145587
-28994.1343,19,31.166533
-6599.524331,4,31.172994
-16695.082576,11,31.186763
-19498.504794,13,31.204691
-21399.71286,14,31.218442
-36592.115571,23,31.242433
-52696.514691,33,31.276321
-30598.406368,19,31.301643
-48199.640554,30,31.335894
-38995.054259,26,31.364438
-27996.244348,17,31.382362
-33097.963233,23,31.408675
-21094.313301,14,31.424264
-22899.253405,15,31.443156
-16299.851291,11,31.458332
-47498.816267,30,31.49016
-30096.876003,19,31.514586
-45098.516332,28,31.547946
-83993.46156,52,31.60241
-20697.11695,14,31.622346
-11395.707837,7,31.631441
-8899.494516,5,31.639143
-12797.278779,8,31.648995
-49295.516103,31,31.68041
-18893.75427,14,31.69853
-39693.210128,26,31.724403
-35093.143345,22,31.744174
-29196.957198,19,31.76698
-20499.719178,15,31.784299
-42593.03712,27,31.811866
-25700.00103,16,31.828697
-43390.849498,27,31.854842
-39099.401294,24,31.884475
-48991.5396,33,31.918526
-36692.481029,23,31.939941
-38997.383965,26,31.965354
-11898.771209,8,31.976419
-16899.688786,10,31.988502
-19798.706997,13,32.003873
-11398.311776,7,32.013255
-29896.647846,20,32.035431
-38497.665055,25,32.062169
-19499.073846,14,32.080917
-17698.405778,11,32.09454
-7891.944193,5,32.099186
-64690.908624,42,32.13559
-22499.84139,14,32.154171
-60694.42379,38,32.189373
-8699.17354,5,32.197625
-23798.236298,15,32.214993
-19899.410083,13,32.229669
-19794.352578,13,32.244579
-29897.611811,19,32.267316
-14096.366761,9,32.27695
-20398.767951,13,32.289349
-33794.616174,22,32.31337
-36797.493299,25,32.341818
-36796.696308,24,32.364782
-31498.94152,22,32.390246
-20098.077379,14,32.405411
-21297.115458,14,32.421869
-26999.049142,17,32.442749
-27199.483227,18,32.464105
-29997.884755,21,32.485539
-18299.011049,11,32.499134
-27496.297215,18,32.519681
-14498.625244,10,32.532783
-18798.12243,12,32.546684
-13499.767521,9,32.557973
-22599.613756,14,32.576114
-25099.062014,16,32.594163
-19899.583891,13,32.610604
-26194.98014,18,32.629968
-29294.857969,20,32.650776
-41188.105781,27,32.676509
-37496.189061,23,32.698516
-21699.17669,15,32.717821
-40095.210028,26,32.745511
-21899.580825,14,32.760832
-18998.940646,12,32.773049
-39997.205121,26,32.803156
-9399.805861,6,32.81125
-7199.830175,5,32.818973
-15699.45195,10,32.832546
-24991.586101,17,32.853408
-42596.912427,28,32.880473
-62993.898436,43,32.917765
-25299.02293,16,32.936271
-42598.238366,28,32.966414
-10800.000899,7,32.975835
-12599.141801,8,32.98503
-13798.132558,9,32.997502
-23698.133828,15,33.016042
-23296.870394,15,33.032477
-21699.430551,13,33.046357
-21696.737279,13,33.061355
-30598.811543,19,33.082913
-25698.023471,17,33.099981
-20998.525503,14,33.118601
-45993.051152,29,33.147514
-34797.397269,23,33.182294
-19998.18373,13,33.199671
-29697.67362,20,33.225741
-21399.135733,13,33.240074
-43296.819101,29,33.269696
-25196.531763,18,33.289561
-33098.323207,21,33.317022
-20398.140192,13,33.334503
-28396.522922,18,33.349914
-34698.332333,23,33.376803
-28199.870445,17,33.392958
-19798.638874,12,33.408937
-50692.405898,31,33.439577
-16197.97975,10,33.452036
-42495.901553,27,33.479846
-20899.26088,13,33.495361
-15198.045466,9,33.506166
-17798.440608,11,33.517626
-15099.285826,9,33.527897
-34798.06986,22,33.551778
